,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
BBK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.09,0.12,0.17,0.16,0.15,0.13,0.15,0.15,0.16,0.17,0.19,0.18,0.19,0.21,0.18,0.15,0.3,0.91,1.1,1.32,1.49,1.63,1.66,1.74,1.71,1.63,1.51,1.39,1.4,1.38,1.4,1.35,1.28,1.22,1.29,1.33,1.24,1.19,1.06,1.03,0.93,0.85,0.71,0.6,0.58,0.68,0.63,0.62,0.6,0.66,0.59,0.58,0.5,0.45,0.39,0.35,0.34,0.31,0.28,0.31,0.29,0.29,0.27,0.26,0.24,0.2
ZTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.29,0.34,0.38,0.41,0.42,0.42,0.41,0.41,0.48,0.42,0.45,0.44,0.43,0.42,0.42,0.42,0.37,0.36,0.38,0.39,0.39,0.39,0.4,0.44,0.42,0.43,0.38,0.41,0.41,0.46,0.47,0.49,0.52,0.58,0.58,0.59,0.6,0.58,0.58,0.57,0.56,0.56,0.53,0.51,0.48,0.46,0.47,0.48,0.46,0.48,0.48,0.47,0.46,0.49,0.58,0.62,0.63,0.62,0.63,0.64,0.64,0.66,0.64,0.66,0.66,0.64,0.63,0.63,0.62,0.62,0.61,0.63,0.63,0.64,0.61,0.59,0.57,0.52,0.44,0.38,0.35,0.33,0.39,0.37,0.36,0.36,0.33,0.32,0.29,0.27,0.27,0.27,0.26,0.31,0.37,0.24,0.25,0.23,0.21,0.2,0.19,0.18,0.19
Alcatel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.07,0.08,0.1,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.18,0.21,0.24,0.25,0.25,0.31,0.33,0.35,0.36,0.4,0.46,0.49,0.49,0.52,0.54,0.54,0.52,0.57,0.54,0.6,0.66,0.71,0.71,0.7,0.67,0.64,0.62,0.58,0.57,0.54,0.53,0.5,0.47,0.45,0.46,0.45,0.43,0.44,0.42,0.4,0.37,0.35,0.44,0.56,0.56,0.59,0.58,0.58,0.57,0.58,0.57,0.58,0.61,0.56,0.49,0.46,0.46,0.45,0.49,0.47,0.47,0.49,0.62,0.61,0.58,0.58,0.37,0.22,0.2,0.19,0.33,0.34,0.32,0.3,0.28,0.31,0.29,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.29,0.25,0.24,0.23,0.21,0.2,0.2
OnePlus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.06,0.07,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.15,0.17,0.19,0.2,0.22,0.23,0.26,0.26,0.25,0.23,0.23,0.24,0.32,0.32,0.25,0.19,0.15,0.16,0.16,0.17,0.15,0.16,0.31,0.45,0.45,0.34,0.52,0.5,0.52,0.6,0.6,0.61,0.6,0.58,0.58,0.65,0.7,0.73,0.74,0.79,0.78,0.78,0.8,0.81,0.77,0.76,0.75,0.81,0.85,0.83
Lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.06,0.06,0.07,0.1,0.13,0.12,0.13,0.13,0.13,0.12,0.1,0.1,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.04,0.03,0.19,0.41,0.58,0.58,0.58,0.66,0.64,0.59,0.52,0.48,0.47,0.49,0.5,0.51,0.49,0.47,0.44,0.39,0.48,0.52,0.51,0.52,0.55,0.5,0.53,0.48,0.4,0.37,0.36,0.33,0.31,0.32,0.31,0.29,0.27,0.24,0.22,0.18,0.15,0.13,0.12,0.1,0.11,0.11,0.11,0.1,0.1,0.09,0.09
Tecno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.12,0.36,0.27,0.26,0.26,0.28,0.3,0.31,0.34,0.37,0.37,0.37,0.38,0.38,0.42,0.53,0.55,0.51,0.47,0.46,0.48,0.45,0.47,0.43,0.39,0.39,0.48,0.43,0.47,0.42,0.4,0.46,0.45,0.42,0.45,0.43,0.47,0.44,0.4,0.38,0.44,0.5,0.53,0.54,0.6,0.59,0.64
Gionee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.06,0.07,0.07,0.1,0.15,0.3,0.41,0.42,0.47,0.47,0.45,0.47,0.48,0.47,0.44,0.41,0.41,0.44,0.45,0.46,0.42,0.42,0.45,0.49,0.46,0.43,0.39,0.38,0.34,0.35,0.3,0.26,0.25,0.26,0.22,0.21,0.21,0.2,0.19,0.18,0.15,0.14,0.12,0.11,0.09,0.08,0.07,0.08,0.08,0.08,0.07,0.07,0.06,0.06
Vodafone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.08,0.08,0.08,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.12,0.14,0.14,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.13,0.15,0.16,0.17,0.15,0.14,0.14,0.16,0.26,0.26,0.25,0.25,0.24,0.22,0.21,0.22,0.38,0.4,0.33,0.31,0.31,0.3,0.28,0.27,0.27,0.28,0.29,0.26,0.22,0.21,0.21,0.2,0.2,0.2,0.18,0.16,0.15,0.16,0.14,0.13,0.11,0.09,0.09,0.08,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05
Infinix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.22,0.2,0.38,0.2,0.2,0.21,0.23,0.23,0.23,0.25,0.25,0.25,0.26,0.26,0.25,0.26,0.33,0.35,0.36,0.33,0.32,0.34,0.34,0.3,0.26,0.24,0.23,0.32,0.29,0.29,0.29,0.28,0.29,0.32,0.32,0.32,0.33,0.37,0.38,0.37,0.35,0.39,0.42,0.42,0.45,0.55,0.55,0.61
Turkcell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.09,0.08,0.11,0.1,0.09,0.07,0.07,0.07,0.07,0.08,0.09,0.09,0.11,0.1,0.12,0.1,0.09,0.07,0.11,0.14,0.18,0.2,0.15,0.2,0.24,0.24,0.25,0.25,0.24,0.28,0.29,0.28,0.29,0.26,0.21,0.2,0.19,0.25,0.23,0.21,0.21,0.2,0.2,0.2,0.21,0.25,0.24,0.24,0.22,0.23,0.22,0.21,0.19,0.18,0.18,0.17,0.13,0.13,0.12,0.12,0.11,0.08,0.05,0.04,0.05,0.05,0.07,0.05,0.05,0.06,0.06,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.09,0.09,0.08,0.05,0.04,0.04
