"Date","Playstation","Xbox","Nintendo","Other"
2019-01,67.61,30.08,2.31,0
2019-02,62.45,35.28,2.27,0
2019-03,63.44,34.59,1.98,0
2019-04,61.1,37.29,1.62,0
2019-05,55.85,42.9,1.24,0
2019-06,48.22,50.78,0.99,0
2019-07,45.56,53.49,0.95,0
2019-08,62.42,36.13,1.45,0
2019-09,63.81,34.92,1.27,0
2019-10,66.55,32.28,1.17,0
2019-11,68.45,30.52,1.03,0
2019-12,68.29,30.71,1.01,0
