"Date","Playstation","Xbox","Nintendo","Other"
2019-10,66.55,32.28,1.17,0
2019-11,68.45,30.52,1.03,0
2019-12,68.29,30.71,1.01,0
2020-01,68.08,31.04,0.87,0
2020-02,57.7,41.62,0.68,0
2020-03,41.44,58.12,0.44,0
2020-04,40.87,58.68,0.45,0
2020-05,65.99,33.46,0.55,0
2020-06,64.68,35.32,0.01,0
2020-07,63.39,36.6,0.01,0
2020-08,64.22,35.77,0.01,0
2020-09,66.33,33.66,0.01,0
2020-10,65.09,34.9,0,0
