"Date","Playstation","Xbox","Nintendo","Other"
2017-01,68.83,26.81,4.35,0
2017-02,70.29,25.71,4,0
2017-03,70.3,25.9,3.8,0
2017-04,71.54,24.91,3.55,0
2017-05,70.89,25.44,3.66,0
2017-06,69.5,26.17,4.33,0
2017-07,68.79,27.05,4.16,0
2017-08,67.79,28.44,3.77,0
2017-09,28.8,69.95,1.26,0
2017-10,38.26,60.26,1.49,0
2017-11,70.48,26.46,3.06,0
2017-12,70.78,26.44,2.78,0
