"Date","Playstation","Xbox","Nintendo","Other"
2015-01,59.58,27.21,13.21,0
2015-02,60.34,27.1,12.56,0
2015-03,59.83,27.15,13.02,0
2015-04,63.9,25.4,10.7,0
2015-05,62.37,26.03,11.6,0
2015-06,61.25,26.38,12.37,0
2015-07,59.95,28.18,11.87,0
2015-08,61.06,29.12,9.82,0
2015-09,64.87,25.9,9.23,0
2015-10,65.79,25.64,8.56,0
2015-11,66.46,25.11,8.43,0
2015-12,66.56,25.66,7.78,0
