"Date","Playstation","Xbox","Nintendo","Other"
2014-01,68.26,16.18,15.56,0
2014-02,66.63,18.76,14.61,0
2014-03,66.07,19.15,14.78,0
2014-04,64.71,20.31,14.98,0
2014-05,62.97,21.11,15.91,0
2014-06,58.06,24.49,17.45,0
2014-07,54,26.86,19.13,0
2014-08,54.98,27.29,17.73,0
2014-09,57.04,25.73,17.22,0
2014-10,59.45,24.53,16.02,0
2014-11,62.22,23.42,14.36,0
2014-12,59.3,25.63,15.07,0
